ID-2996,2,2,1,5,1,5.56
ID-2966,2,1,1,1,0,4.42
ID-2032,1,1,0,3,0,4.42
ID-1158,9,0,1,2,0,5.07
ID-2888,4,4,1,3,0,5.34
ID-2980,4,9,1,6,0,6.31
ID-1038,8,0,0,4,1,5.16
ID-1170,6,0,0,4,1,4.85
ID-1236,8,2,0,1,0,5.11
ID-1058,6,3,0,2,0,5.08
ID-1080,7,0,0,3,0,4.72
ID-2862,4,1,0,3,0,4.8
ID-1172,4,1,0,1,0,4.64
ID-2838,3,3,1,2,1,5.07
ID-2866,2,3,0,1,1,4.25
ID-2858,1,1,0,2,0,3.47
ID-1186,4,0,0,2,1,4.44
ID-2904,1,1,0,2,0,3.81
ID-1218,6,0,0,0,0,4.51
ID-2854,0,0,1,1,0,3.09
ID-2882,1,3,0,2,0,4.51
ID-1260,8,0,0,3,0,4.84
ID-1220,14,1,0,6,1,6.2
ID-2852,2,8,1,4,0,5.4
ID-1068,5,0,0,1,0,4.68
ID-1176,5,2,0,4,1,4.92
ID-2944,0,3,0,2,0,4.03
ID-1048,3,0,0,1,0,3.26
ID-1086,2,0,0,0,0,3.4
ID-1214,7,0,1,2,0,4.45
ID-2938,3,9,1,5,0,5.49
ID-2020,0,3,0,3,0,4.68
ID-2936,2,2,0,2,0,4.39
ID-2798,4,1,1,4,0,4.9
ID-1148,3,0,0,2,0,4.45
ID-2846,1,3,0,2,0,4.8
ID-1040,11,1,1,2,0,5.04
ID-1050,9,1,0,2,1,4.95
ID-1250,1,0,0,2,1,3.93
ID-1140,5,0,0,0,0,4.62
ID-2926,2,2,0,2,0,4.29
ID-2878,3,2,1,1,0,4.81
ID-1240,9,3,1,4,0,5.54
ID-2892,1,0,0,0,1,4.2
ID-2832,5,0,0,3,0,4.61
ID-1070,4,0,0,1,0,3.91
ID-1090,7,0,0,1,0,4.66
ID-1198,4,0,0,0,0,4.25
ID-2816,6,4,1,3,0,5.4
ID-2864,4,2,0,1,0,3.76
